,Logical Regression,Train-Time(Log Reg),Decision Tree,Train-Time(Decision Tree),Random Forest,Train-Time(Random Forest),Naive Bayes,Train-Time(Naive Bayes),SVM,Train-Time(SVM)
367,0.8947368421052632,0.021000385284423828,0.9210526315789473,0.0010020732879638672,0.8947368421052632,0.12899518013000488,0.9210526315789473,0.0,0.9473684210526315,0.0
368,1.0,0.021999120712280273,1.0,0.0010023117065429688,1.0,0.11200690269470215,1.0,0.0010004043579101562,1.0,0.0
369,0.9736842105263158,0.022003173828125,0.9736842105263158,0.0,0.9736842105263158,0.14100956916809082,0.9736842105263158,0.0010001659393310547,0.9736842105263158,0.0
370,0.9736842105263158,0.02200150489807129,0.9736842105263158,0.0010018348693847656,0.9736842105263158,0.11400675773620605,1.0,0.0,0.9736842105263158,0.0
371,0.9473684210526315,0.020001649856567383,0.9473684210526315,0.0009999275207519531,0.9473684210526315,0.12701416015625,0.9210526315789473,0.0010006427764892578,0.9473684210526315,0.0
372,0.9736842105263158,0.021999835968017578,0.9473684210526315,0.0,0.9736842105263158,0.11000585556030273,1.0,0.0,0.9473684210526315,0.0
373,0.9210526315789473,0.022001028060913086,0.9210526315789473,0.0010025501251220703,0.9210526315789473,0.11900782585144043,0.9210526315789473,0.0009996891021728516,0.9473684210526315,0.0010004043579101562
374,0.9736842105263158,0.02900075912475586,0.9473684210526315,0.0,0.9736842105263158,0.12701058387756348,0.9736842105263158,0.0,1.0,0.0009999275207519531
375,0.9473684210526315,0.023001670837402344,0.9473684210526315,0.0009999275207519531,0.9473684210526315,0.12401127815246582,0.9473684210526315,0.001001119613647461,0.9736842105263158,0.000997781753540039
376,0.9210526315789473,0.0240020751953125,0.9210526315789473,0.0010013580322265625,0.9210526315789473,0.1220095157623291,0.9210526315789473,0.0,0.9210526315789473,0.0010001659393310547
377,0.9736842105263158,0.026001691818237305,0.8947368421052632,0.0,0.9736842105263158,0.11500787734985352,0.9736842105263158,0.0,1.0,0.0
378,1.0,0.02200174331665039,1.0,0.0,1.0,0.11600852012634277,1.0,0.0009996891021728516,0.9736842105263158,0.0
379,0.9473684210526315,0.022000551223754883,0.9473684210526315,0.0,0.9473684210526315,0.11200761795043945,0.9473684210526315,0.0,0.9736842105263158,0.0010001659393310547
380,1.0,0.02200150489807129,0.9473684210526315,0.0,0.9736842105263158,0.13501191139221191,0.9736842105263158,0.0010020732879638672,1.0,0.0
381,0.9736842105263158,0.019001007080078125,0.9736842105263158,0.0,0.9736842105263158,0.11800885200500488,0.9473684210526315,0.0010001659393310547,0.9736842105263158,0.0010001659393310547
382,0.9736842105263158,0.022001028060913086,0.9473684210526315,0.001001596450805664,0.9473684210526315,0.12000679969787598,0.9736842105263158,0.0009996891021728516,0.9736842105263158,0.0010001659393310547
383,1.0,0.016001224517822266,0.9736842105263158,0.0,1.0,0.12300944328308105,1.0,0.0010008811950683594,1.0,0.0009999275207519531
384,1.0,0.022002458572387695,1.0,0.0010013580322265625,1.0,0.11700630187988281,1.0,0.0010001659393310547,1.0,0.0010001659393310547
385,0.9473684210526315,0.020001649856567383,0.9210526315789473,0.0,0.9473684210526315,0.1220090389251709,0.9473684210526315,0.0009999275207519531,0.9736842105263158,0.0009999275207519531
386,0.9473684210526315,0.023000478744506836,0.9210526315789473,0.0,0.9210526315789473,0.12300896644592285,0.9210526315789473,0.0010006427764892578,0.9210526315789473,0.00099945068359375
387,0.868421052631579,0.02500152587890625,0.8421052631578947,0.0,0.8421052631578947,0.11800479888916016,0.8947368421052632,0.0010001659393310547,0.9473684210526315,0.0009999275207519531
