,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM)
634,0.9440559440559441,0.05400252342224121,0.9440559440559441,0.00699925422668457,0.951048951048951,0.20601654052734375,0.9300699300699301,0.0009961128234863281,0.958041958041958,1.2934722900390625
635,0.958041958041958,0.04857373237609863,0.9440559440559441,0.011937618255615234,0.986013986013986,0.19601845741271973,0.958041958041958,0.0,0.958041958041958,1.454596757888794
636,0.9370629370629371,0.03126335144042969,0.9440559440559441,0.015629053115844727,0.972027972027972,0.15708684921264648,0.9370629370629371,0.0,0.965034965034965,1.3258731365203857
637,0.9300699300699301,0.04727768898010254,0.916083916083916,0.0,0.9440559440559441,0.15670108795166016,0.9230769230769231,0.0,0.9230769230769231,2.355802297592163
638,0.958041958041958,0.031260013580322266,0.9370629370629371,0.015630006790161133,0.951048951048951,0.15709495544433594,0.9230769230769231,0.0,0.958041958041958,1.2422938346862793
639,0.9440559440559441,0.032266855239868164,0.9230769230769231,0.0,0.958041958041958,0.19290614128112793,0.9440559440559441,0.0010001659393310547,0.9440559440559441,2.620809555053711
640,0.958041958041958,0.031646728515625,0.958041958041958,0.0,0.972027972027972,0.19596362113952637,0.951048951048951,0.0009984970092773438,0.965034965034965,0.8571038246154785
641,0.951048951048951,0.04245877265930176,0.972027972027972,0.005998849868774414,0.9790209790209791,0.14885878562927246,0.951048951048951,0.0,0.965034965034965,2.931309938430786
642,0.9090909090909091,0.030858755111694336,0.9370629370629371,0.015629291534423828,0.951048951048951,0.15709161758422852,0.9230769230769231,0.0,0.9370629370629371,1.149632453918457
643,0.9370629370629371,0.040270090103149414,0.916083916083916,0.0,0.965034965034965,0.17271637916564941,0.9370629370629371,0.0,0.951048951048951,1.3198730945587158
644,0.965034965034965,0.04689168930053711,0.9300699300699301,0.0,0.986013986013986,0.1727137565612793,0.951048951048951,0.0,0.9790209790209791,0.8303065299987793
645,0.9300699300699301,0.03125810623168945,0.9370629370629371,0.0,0.9790209790209791,0.18834376335144043,0.9370629370629371,0.0010004043579101562,0.951048951048951,2.6413185596466064
646,0.9370629370629371,0.04329419136047363,0.9440559440559441,0.007000446319580078,0.951048951048951,0.2090163230895996,0.951048951048951,0.0,0.965034965034965,1.90869140625
647,0.951048951048951,0.04990386962890625,0.9230769230769231,0.0,0.9440559440559441,0.1628892421722412,0.9300699300699301,0.0,0.9440559440559441,0.8421950340270996
648,0.965034965034965,0.0518956184387207,0.9230769230769231,0.004998683929443359,0.972027972027972,0.16409516334533691,0.9440559440559441,0.0,0.9790209790209791,0.6287226676940918
649,0.965034965034965,0.04688739776611328,0.9230769230769231,0.0,0.958041958041958,0.1727151870727539,0.951048951048951,0.0,0.965034965034965,1.775146245956421
650,0.9440559440559441,0.04666948318481445,0.9230769230769231,0.015631675720214844,0.958041958041958,0.15709257125854492,0.9370629370629371,0.0,0.951048951048951,1.1184394359588623
651,0.9300699300699301,0.04728221893310547,0.958041958041958,0.015630245208740234,0.986013986013986,0.17271709442138672,0.9440559440559441,0.0,0.9230769230769231,0.8193180561065674
652,0.916083916083916,0.031041622161865234,0.8951048951048951,0.016637086868286133,0.9440559440559441,0.2015213966369629,0.9300699300699301,0.0010001659393310547,0.9370629370629371,1.0695037841796875
653,0.951048951048951,0.04728078842163086,0.8951048951048951,0.0,0.958041958041958,0.17284154891967773,0.9440559440559441,0.0,0.965034965034965,1.3497233390808105
654,0.9790209790209791,0.04688763618469238,0.9440559440559441,0.007513523101806641,0.9790209790209791,0.1652066707611084,0.951048951048951,0.0,0.972027972027972,1.0338528156280518
