,Unnamed: 0,Time(Log_Reg),Time(Lasso_Reg),Time(ELastic_Reg),Time(Rid_Reg),Accuracy(Log_Reg),Accuracy(Lasso_Reg),Accuracy(Elastic_Reg),Accuracy(Rid_Reg),MSE(Log_Reg),MSE(Lasso_Reg),MSE(Elastic_Reg),MSE(Rid_Reg),R-sq(Log_Reg),R-sq(Lasso_Reg),R-sq(Elastic_Reg),R-sq(Rid_Reg)
243,243,0.0579984188079834,0.0009999275207519,0.0009987354278564,0.001000165939331,0.9473684210526316,0.925761999136034,0.9222744668313844,0.925613766718963,0.0526315789473684,0.172470068610413,0.1783759502644269,0.1799909417815432,0.9178378378378378,0.925761999136034,0.9222744668313844,0.925613766718963
244,244,0.0590019226074218,0.0009987354278564,0.0009999275207519,0.0029981136322021,0.9736842105263158,0.9318896684673994,0.9317356962224518,0.9335114375040596,0.0263157894736842,0.1599747751588357,0.1634561746115612,0.1650720485652379,0.9599578503688092,0.9318896684673994,0.9317356962224518,0.9335114375040596
245,245,0.0370011329650878,0.0010006427764892,0.0009992122650146,0.0010006427764892,0.9210526315789472,0.9210391631681556,0.9155078436000572,0.9241083157596378,0.0789473684210526,0.1932024654798807,0.1992700769812725,0.1941376173426414,0.896457765667575,0.9210391631681556,0.9155078436000572,0.9241083157596378
246,246,0.0290038585662841,0.0010013580322265,0.0009968280792236,0.0,1.0,0.911406853706818,0.9034534955788576,0.9131204595527478,0.0,0.1852700318332359,0.1933484682112085,0.1862348044604881,1.0,0.911406853706818,0.9034534955788576,0.9131204595527478
247,247,0.0380017757415771,0.0009994506835937,0.0,0.0,0.8947368421052632,0.9046939635154034,0.9045399674968626,0.907715606133638,0.1052631578947368,0.2032408574012486,0.2013140579051936,0.2032833214363147,0.8455284552845529,0.9046939635154034,0.9045399674968626,0.907715606133638
248,248,0.0310006141662597,0.0009989738464355,0.002000093460083,0.0020034313201904,0.9736842105263158,0.8841149570273076,0.8799446284142781,0.8863025415591269,0.0263157894736842,0.2059475343644727,0.2093469995863712,0.2055140533410697,0.9543269230769232,0.8841149570273076,0.8799446284142781,0.8863025415591269
249,249,0.0560054779052734,0.0009996891021728,0.00099778175354,0.0010011196136474,0.9736842105263158,0.9336715048074689,0.9387686118104228,0.9275785919756973,0.0263157894736842,0.1555941668427193,0.1489122560488265,0.1639817576613002,0.9599578503688092,0.9336715048074689,0.9387686118104228,0.9275785919756973
250,250,0.0500030517578125,0.0,0.0,0.0,0.9473684210526316,0.9113389841663134,0.9103938566614768,0.9122975379299384,0.0526315789473684,0.1733458175159878,0.1768128089318526,0.1755762949404389,0.9078787878787878,0.9113389841663134,0.9103938566614768,0.9122975379299384
251,251,0.0230031013488769,0.0010013580322265,0.0010006427764892,0.0010020732879638,1.0,0.9292307325256122,0.9263707484585934,0.9329459076706496,0.0,0.1715512723510037,0.1722342033004491,0.1692633880550804,1.0,0.9292307325256122,0.9263707484585934,0.9329459076706496
252,252,0.0239980220794677,0.0,0.0,0.0010008811950683,0.9473684210526316,0.8986690285567582,0.912272475202334,0.9059402422633946,0.0526315789473684,0.1903939532952411,0.1780779971462029,0.1852317912332564,0.9178378378378378,0.8986690285567582,0.912272475202334,0.9059402422633946
253,253,0.025001049041748,0.0,0.0009994506835937,0.0,0.9736842105263158,0.9466920014583908,0.9439260977459122,0.948251106853022,0.0263157894736842,0.131727976090711,0.1400180905774776,0.1361870775329446,0.9629268292682926,0.9466920014583908,0.9439260977459122,0.948251106853022
254,254,0.0239999294281005,0.0010008811950683,0.0009994506835937,0.0,0.9210526315789472,0.9125524473551772,0.9110548820741372,0.913313919118588,0.0789473684210526,0.1780369574778695,0.1781031778224179,0.17844747779238,0.8694158075601375,0.9125524473551772,0.9110548820741372,0.913313919118588
255,255,0.0210006237030029,0.0009989738464355,0.0010004043579101,0.0,0.8947368421052632,0.9155049450331392,0.9139408603476138,0.91292007194502,0.1052631578947368,0.1810924736582329,0.1816096859981449,0.1879606305580654,0.8455284552845529,0.9155049450331392,0.9139408603476138,0.91292007194502
256,256,0.0240015983581542,0.0,0.0010004043579101,0.0010013580322265,0.9473684210526316,0.9263517980352342,0.9223979201070764,0.929237914469636,0.0526315789473684,0.1588190690524802,0.1628392396366678,0.1592366828771633,0.9192348565356004,0.9263517980352342,0.9223979201070764,0.929237914469636
257,257,0.0320000648498535,0.0010015964508056,0.0009999275207519,0.0009996891021728,1.0,0.9032642667280192,0.902018231293638,0.905490126256387,0.0,0.1896378580447002,0.1926345626792806,0.1902425646244513,1.0,0.9032642667280192,0.902018231293638,0.905490126256387
258,258,0.0239992141723632,0.0,0.0,0.0,0.9210526315789472,0.8993828321432903,0.8864017739520231,0.9073749351003134,0.0789473684210526,0.2006136406360156,0.2107917598398333,0.1927907035131789,0.8798735511064278,0.8993828321432903,0.8864017739520231,0.9073749351003134
259,259,0.0240004062652587,0.0,0.001000165939331,0.0010004043579101,0.9473684210526316,0.9136628959374246,0.9076404159816333,0.9190171131173918,0.0526315789473684,0.1954554771239941,0.2019559956349237,0.1918286706313125,0.924075924075924,0.9136628959374246,0.9076404159816333,0.9190171131173918
260,260,0.0270018577575683,0.0010008811950683,0.0010004043579101,0.0009994506835937,1.0,0.9245441535085271,0.921949773632693,0.9193758883038312,0.0,0.1616943291215243,0.1645666302893519,0.171471624993113,1.0,0.9245441535085271,0.921949773632693,0.9193758883038312
261,261,0.0260007381439209,0.001000165939331,0.0009994506835937,0.0009999275207519,0.9473684210526316,0.9122982806331048,0.9105896760443932,0.9079166319319196,0.0526315789473684,0.1750906468290352,0.1773376953757289,0.1813405955131012,0.9162995594713657,0.9122982806331048,0.9105896760443932,0.9079166319319196
262,262,0.0300016403198242,0.001002550125122,0.0009982585906982,0.0,0.9736842105263158,0.9351332463450432,0.9272051385815756,0.936941772524819,0.0263157894736842,0.161639599757126,0.1694507789858919,0.1644572603553259,0.9599578503688092,0.9351332463450432,0.9272051385815756,0.936941772524819
263,263,0.0229997634887695,0.0,0.0,0.0,1.0,0.9247779456764458,0.9214346793586492,0.926996982212448,0.0,0.163048450194524,0.1675694206450266,0.1672842976073623,1.0,0.9247779456764458,0.9214346793586492,0.926996982212448
264,264,0.0320007801055908,0.0009996891021728,0.0009994506835937,0.0010020732879638,0.9473684210526316,0.9006549164320898,0.9089061272057802,0.9061911259672768,0.0526315789473684,0.2007071898753411,0.1927291715024347,0.1963550191815709,0.9258536585365854,0.9006549164320898,0.9089061272057802,0.9061911259672768
265,265,0.029001235961914,0.0010011196136474,0.0009989738464355,0.0,0.9473684210526316,0.9143697547429236,0.9152586597658202,0.9076745836498906,0.0526315789473684,0.1686939580688263,0.1688489648071147,0.1829054700275011,0.9151785714285714,0.9143697547429236,0.9152586597658202,0.9076745836498906
266,266,0.0250003337860107,0.0,0.0,0.0010023117065429,0.9473684210526316,0.9175628574729964,0.9156620664798392,0.9150228022587248,0.0526315789473684,0.1698027405832622,0.1723743767953917,0.1708587690354572,0.9192348565356004,0.9175628574729964,0.9156620664798392,0.9150228022587248
267,267,0.0290019512176513,0.0009992122650146,0.0010015964508056,0.0010006427764892,1.0,0.9092429250127996,0.9086444293539478,0.9086059349303576,0.0,0.1623156786233388,0.1606889775226042,0.1710211876400157,1.0,0.9092429250127996,0.9086444293539478,0.9086059349303576
268,268,0.0210030078887939,0.0,0.0,0.0009992122650146,0.9210526315789472,0.8750755417356062,0.8720539639798717,0.8797177149363884,0.0789473684210526,0.2145397899271051,0.2189164816045599,0.2085324421407922,0.8562421185372006,0.8750755417356062,0.8720539639798717,0.8797177149363884
269,269,0.022001028060913,0.0,0.0009994506835937,0.0,0.9473684210526316,0.9137475769237952,0.9076438615683824,0.9145856011991008,0.0526315789473684,0.1898942110917214,0.1996325791170157,0.1915420893325935,0.9222108495394064,0.9137475769237952,0.9076438615683824,0.9145856011991008
270,270,0.0269980430603027,0.0,0.0,0.0,0.9736842105263158,0.9129001702319048,0.9183682511982432,0.9153811342204856,0.0263157894736842,0.1791274410340513,0.1683988643266993,0.1836201870927954,0.9600840336134454,0.9129001702319048,0.9183682511982432,0.9153811342204856
271,271,0.0229995250701904,0.0,0.0,0.0,0.9736842105263158,0.8879321713648836,0.8844506735660783,0.8932195127068691,0.0263157894736842,0.1789821613079606,0.1846125673917907,0.1742026823140697,0.9483695652173914,0.8879321713648836,0.8844506735660783,0.8932195127068691
272,272,0.024001121520996,0.0,0.0,0.0009994506835937,0.9473684210526316,0.9129040731211456,0.9211119885679452,0.9012378663444952,0.0526315789473684,0.1741491359992026,0.1661828675599018,0.200608858206172,0.9227642276422764,0.9129040731211456,0.9211119885679452,0.9012378663444952
273,273,0.0240013599395751,0.0,0.0,0.001000165939331,1.0,0.9019660523276124,0.8982016235699446,0.9002082381297639,0.0,0.1788439730968839,0.1830441421528588,0.1866015823518471,1.0,0.9019660523276124,0.8982016235699446,0.9002082381297639
274,274,0.0220012664794921,0.0,0.0,0.0,0.9473684210526316,0.9146963712388004,0.9170594911695356,0.9142522010119408,0.0526315789473684,0.1831676259774772,0.1785077657460309,0.1890955665373825,0.9218106995884774,0.9146963712388004,0.9170594911695356,0.9142522010119408
275,275,0.0290019512176513,0.0009999275207519,0.0009992122650146,0.0010020732879638,0.9736842105263158,0.9529305614065732,0.9525609020565952,0.951316848482046,0.0263157894736842,0.1436757362945145,0.1439281357168641,0.1522431089080991,0.9637404580152672,0.9529305614065732,0.9525609020565952,0.951316848482046
276,276,0.0330021381378173,0.0010020732879638,0.0010018348693847,0.0010004043579101,0.9736842105263158,0.904896600739908,0.9069395612325478,0.9105145671950198,0.0263157894736842,0.1829298044687745,0.1790689512870676,0.1809135727970972,0.9564719358533792,0.904896600739908,0.9069395612325478,0.9105145671950198
277,277,0.0370025634765625,0.0,0.0020015239715576,0.0,0.9473684210526316,0.8958919282880242,0.8944085379789066,0.8964666410002455,0.0526315789473684,0.1880397897656586,0.1899465535018601,0.1895212801374565,0.904642409033877,0.8958919282880242,0.8944085379789066,0.8964666410002455
278,278,0.0250000953674316,0.0010006427764892,0.0,0.0,1.0,0.9265461903674876,0.9254770691217492,0.9162423063249616,0.0,0.1540455889107557,0.1550774270964612,0.1707017796741712,1.0,0.9265461903674876,0.9254770691217492,0.9162423063249616
279,279,0.0269989967346191,0.0009980201721191,0.0009984970092773,0.0009999275207519,0.9473684210526316,0.9382924932608924,0.933943453527708,0.9422088878612512,0.0526315789473684,0.1553338957635766,0.1621286954543154,0.159547543111355,0.9309718437783832,0.9382924932608924,0.933943453527708,0.9422088878612512
280,280,0.0440084934234619,0.0010004043579101,0.0009992122650146,0.0,0.9736842105263158,0.9195067245049032,0.9170379749619852,0.9214578145613492,0.0263157894736842,0.1809592885703012,0.1866383868303047,0.1836988301141427,0.9641509433962264,0.9195067245049032,0.9170379749619852,0.9214578145613492
281,281,0.034001350402832,0.00099778175354,0.0009989738464355,0.0010008811950683,0.9473684210526316,0.9195294815076366,0.9233136622070922,0.9218774923521909,0.0526315789473684,0.1649341207017726,0.1598033631678658,0.1680897180249145,0.9162995594713657,0.9195294815076366,0.9233136622070922,0.9218774923521909
282,282,0.0260007381439209,0.0009996891021728,0.0010006427764892,0.0009999275207519,0.9736842105263158,0.9278339755454088,0.928232379354778,0.9295477240887724,0.0263157894736842,0.1500940474436948,0.1488211931419439,0.1539330561815155,0.9560693641618496,0.9278339755454088,0.928232379354778,0.9295477240887724
283,283,0.0309963226318359,0.001002550125122,0.0010018348693847,0.0010015964508056,0.9473684210526316,0.8973651303384,0.8984262467896457,0.8911787700281097,0.0526315789473684,0.1932937968146287,0.1910648018709667,0.203075965648891,0.9162995594713657,0.8973651303384,0.8984262467896457,0.8911787700281097
284,284,0.030001163482666,0.0,0.0,0.0010006427764892,1.0,0.9315139251189548,0.9254660690341996,0.932787701072338,0.0,0.1575780049699507,0.1642868636959241,0.1601610809519844,1.0,0.9315139251189548,0.9254660690341996,0.932787701072338
285,285,0.0270018577575683,0.0,0.0,0.0010018348693847,0.9210526315789472,0.8832746534774376,0.8772424413120377,0.8893453079941283,0.0789473684210526,0.2187799150080819,0.2246772063836448,0.2178770163501519,0.8716216216216216,0.8832746534774376,0.8772424413120377,0.8893453079941283
286,286,0.0400032997131347,0.0019991397857666,0.0010023117065429,0.0,0.9736842105263158,0.928397500309366,0.9260533160496112,0.9229265217353636,0.0263157894736842,0.1790789689111428,0.1808252823234307,0.1900003233241131,0.9613821138211384,0.928397500309366,0.9260533160496112,0.9229265217353636
287,287,0.0209987163543701,0.0,0.0,0.0010011196136474,0.9473684210526316,0.914513294066468,0.9130224238642136,0.9172931266521543,0.0526315789473684,0.1826713315679512,0.1841836343740411,0.1858903442982457,0.9252704031465092,0.914513294066468,0.9130224238642136,0.9172931266521543
288,288,0.0530028343200683,0.0019998550415039,0.0010004043579101,0.0010046958923339,0.9473684210526316,0.9428558403120292,0.9402161807512882,0.9415723585307691,0.0526315789473684,0.1382186215429877,0.146232116073652,0.1467523293747089,0.9258536585365854,0.9428558403120292,0.9402161807512882,0.9415723585307691
289,289,0.0470006465911865,0.0010011196136474,0.0009980201721191,0.0010004043579101,0.8947368421052632,0.8921891299604593,0.8915813162335747,0.8951325448254601,0.1052631578947368,0.1968670971344828,0.1933989031825537,0.1984947395496535,0.8258877434135166,0.8921891299604593,0.8915813162335747,0.8951325448254601
290,290,0.0259959697723388,0.0010023117065429,0.0020005702972412,0.0,0.9473684210526316,0.9317938166714936,0.9295715761680596,0.9293651578152664,0.0526315789473684,0.1527437153961018,0.1558500469189686,0.1613776347349968,0.9162995594713657,0.9317938166714936,0.9295715761680596,0.9293651578152664
291,291,0.0229978561401367,0.001000165939331,0.001000165939331,0.0009996891021728,0.9736842105263158,0.9389477201789252,0.9420508451632978,0.9423596215677718,0.0263157894736842,0.1449530864919147,0.1415437332768691,0.1432660706042894,0.9599578503688092,0.9389477201789252,0.9420508451632978,0.9423596215677718
292,292,0.0500080585479736,0.0009973049163818,0.0009999275207519,0.0010018348693847,0.9210526315789472,0.8921172675631318,0.8897570826040573,0.8967132703827874,0.0789473684210526,0.2036111481698859,0.2088889384064206,0.1987004442359896,0.8744493392070485,0.8921172675631318,0.8897570826040573,0.8967132703827874
293,293,0.0360026359558105,0.0,0.0,0.0,0.9473684210526316,0.9188633167026088,0.9186147382184464,0.9163908404187774,0.0526315789473684,0.1672082355952696,0.1665032136375048,0.1749348969476181,0.91324200913242,0.9188633167026088,0.9186147382184464,0.9163908404187774
294,294,0.0229995250701904,0.001000165939331,0.0009996891021728,0.0010008811950683,0.9473684210526316,0.914344027573665,0.9084225815686492,0.918329868988865,0.0526315789473684,0.1930119494518044,0.1971004288204574,0.1910355149686551,0.9252704031465092,0.914344027573665,0.9084225815686492,0.918329868988865
295,295,0.0240025520324707,0.0,0.0010008811950683,0.0010011196136474,0.9473684210526316,0.893847646283657,0.8963178185766647,0.8933932309862106,0.0526315789473684,0.1944410588141993,0.1901324963144605,0.1947594529579317,0.91324200913242,0.893847646283657,0.8963178185766647,0.8933932309862106
